"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","17,973,255","100"
"2","www.google.com","12,228,496","100"
"3","apple.com","4,558,089","100"
"4","microsoft.com","4,606,568","99"
"5","cloudflare.com","5,239,218","99"
"6","www.blogger.com","25,558,342","99"
"7","support.google.com","4,653,130","99"
"8","play.google.com","2,383,545","99"
"9","en.wikipedia.org","5,435,060","98"
"10","adobe.com","2,818,664","98"
"11","maps.google.com","4,374,193","98"
"12","docs.google.com","2,279,139","98"
"13","linkedin.com","9,050,491","98"
"14","mozilla.org","1,929,637","98"
"15","wordpress.org","10,056,834","98"
"16","youtu.be","3,896,955","97"
"17","plus.google.com","11,745,297","97"
"18","drive.google.com","1,798,552","97"
"19","googleusercontent.com","2,167,900","97"
"20","sites.google.com","1,718,787","97"
"21","europa.eu","1,673,006","97"
"22","vimeo.com","3,084,199","97"
"23","accounts.google.com","2,532,588","97"
"24","amazon.com","4,006,065","96"
"25","bbc.co.uk","1,407,270","96"
"26","github.com","2,024,442","96"
"27","es.wikipedia.org","775,154","96"
"28","cnn.com","1,216,573","96"
"29","line.me","625,751","96"
"30","bp.blogspot.com","16,049,832","96"
"31","vk.com","1,602,312","96"
"32","medium.com","1,137,778","96"
"33","istockphoto.com","3,115,092","96"
"34","facebook.com","45,967,205","96"
"35","feedburner.com","1,696,724","95"
"36","get.google.com","750,256","95"
"37","pt.wikipedia.org","356,609","95"
"38","creativecommons.org","1,558,324","95"
"39","reuters.com","723,916","95"
"40","washingtonpost.com","866,926","95"
"41","google.de","1,076,195","95"
"42","nih.gov","1,050,243","95"
"43","uol.com.br","562,834","95"
"44","live.com","732,444","95"
"45","fr.wikipedia.org","534,980","95"
"46","msn.com","982,156","95"
"47","opera.com","747,622","95"
"48","nytimes.com","1,679,525","95"
"49","google.com.br","262,187","95"
"50","gstatic.com","583,749","95"
"51","slideshare.net","875,976","95"
"52","whatsapp.com","1,946,027","95"
"53","www.yahoo.com","927,561","95"
"54","developers.google.com","897,157","95"
"55","dailymotion.com","1,062,669","95"
"56","google.es","413,052","95"
"57","bbc.com","664,161","95"
"58","globo.com","380,923","95"
"59","news.google.com","690,176","95"
"60","news.yahoo.com","583,147","95"
"61","t.me","562,725","95"
"62","forbes.com","1,139,169","95"
"63","google.co.uk","535,627","95"
"64","dropbox.com","929,198","95"
"65","paypal.com","901,392","95"
"66","hugedomains.com","4,955,893","95"
"67","who.int","2,039,033","95"
"68","theguardian.com","1,194,320","95"
"69","mail.ru","474,329","95"
"70","policies.google.com","1,127,832","95"
"71","myspace.com","1,245,813","95"
"72","w3.org","1,051,174","95"
"73","mail.google.com","438,475","95"
"74","jimdofree.com","1,666,577","95"
"75","google.co.jp","624,804","95"
"76","imdb.com","1,223,481","95"
"77","wikimedia.org","1,368,350","95"
"78","android.com","261,492","94"
"79","bing.com","894,105","94"
"80","wsj.com","797,350","94"
"81","booking.com","352,830","94"
"82","terra.com.br","185,304","94"
"83","harvard.edu","585,704","94"
"84","cdc.gov","656,951","94"
"85","goo.gl","4,176,933","94"
"86","www.gov.uk","485,185","94"
"87","bloomberg.com","677,261","94"
"88","office.com","352,471","94"
"89","ok.ru","329,407","94"
"90","amazon.de","490,236","94"
"91","photos.google.com","228,943","94"
"92","aliexpress.com","440,271","94"
"93","it.wikipedia.org","281,304","94"
"94","tinyurl.com","1,247,323","94"
"95","google.ru","173,518","94"
"96","foxnews.com","451,656","94"
"97","abcnews.go.com","469,988","94"
"98","techcrunch.com","389,074","94"
"99","search.google.com","1,034,221","94"
"100","mediafire.com","762,986","94"
"101","files.wordpress.com","1,984,421","94"
"102","amazon.co.uk","626,531","94"
"103","ebay.com","866,232","94"
"104","aol.com","654,379","94"
"105","businessinsider.com","573,313","94"
"106","picasaweb.google.com","608,295","94"
"107","issuu.com","844,429","94"
"108","independent.co.uk","515,616","94"
"109","ig.com.br","130,851","94"
"110","wikia.com","456,428","94"
"111","archive.org","882,124","94"
"112","elpais.com","323,240","94"
"113","samsung.com","302,091","94"
"114","twitter.com","48,563,555","94"
"115","cpanel.com","1,228,141","94"
"116","books.google.com","343,186","94"
"117","ft.com","350,357","94"
"118","abril.com.br","223,784","94"
"119","lefigaro.fr","186,823","94"
"120","themeforest.net","505,330","94"
"121","id.wikipedia.org","410,704","94"
"122","dailymail.co.uk","772,843","94"
"123","usatoday.com","637,508","94"
"124","scribd.com","650,733","94"
"125","youronlinechoices.com","506,224","94"
"126","cpanel.net","1,314,019","94"
"127","fb.com","360,240","94"
"128","google.it","404,401","94"
"129","fandom.com","430,280","94"
"130","webmd.com","546,621","94"
"131","un.org","422,732","94"
"132","networkadvertising.org","692,366","94"
"133","google.fr","379,679","94"
"134","dan.com","1,813,827","94"
"135","telegraph.co.uk","767,886","94"
"136","amazon.co.jp","772,704","94"
"137","www.wix.com","904,761","94"
"138","myaccount.google.com","266,297","94"
"139","huffingtonpost.com","868,692","94"
"140","translate.google.com","272,248","94"
"141","wired.com","532,214","94"
"142","draft.blogger.com","9,887,278","94"
"143","bit.ly","4,083,779","94"
"144","de.wikipedia.org","587,917","94"
"145","thesun.co.uk","253,019","94"
"146","buydomains.com","1,128,863","94"
"147","pinterest.com","7,333,622","94"
"148","gravatar.com","1,695,933","94"
"149","steampowered.com","216,681","94"
"150","cnet.com","546,312","94"
"151","latimes.com","574,318","94"
"152","telegram.me","274,138","94"
"153","change.org","402,003","94"
